,a,fold,logL,log_a,sd,log_sd
26,38.92089653229709,1,-9417.919390032419,1.5901828355671532,738.6199822079362,2.868421052631579
27,71.3412525920056,1,-8878.61317305173,1.8533407303039953,545.559478116852,2.736842105263158
28,130.7671398877709,1,-8449.181078793315,2.1164986250408377,402.96113202004005,2.6052631578947367
29,239.69364502501062,1,-8053.502276655789,2.3796565197776793,297.63514416313194,2.473684210526316
30,439.3538278399619,1,-7630.457560157556,2.642814414514522,219.83926488622893,2.3421052631578947
31,805.327091661045,1,-7212.822828777325,2.905972309251364,162.3776739188722,2.210526315789474
32,1476.1490249254803,1,-6820.228872463918,3.169130203988206,119.93539462092343,2.0789473684210527
33,2705.7526890025133,1,-6436.637938355094,3.432288098725048,88.58667904100828,1.9473684210526316
34,4959.592487224601,1,-6076.945900909484,3.69544599346189,65.4318912971297,1.8157894736842106
35,9090.837362672157,1,-5754.282590335364,3.958603888198732,48.329302385717554,1.6842105263157896
36,16663.329531092877,1,-5499.977957073792,4.221761782935574,35.69698846826066,1.5526315789473686
37,30543.561608737768,1,-5354.22824104147,4.4849196776724165,26.366508987303583,1.4210526315789473
38,55985.75926893838,1,-5318.1120307086385,4.748077572409258,19.474830399087573,1.2894736842105265
39,102620.81682127241,1,-5359.047204675971,5.011235467146101,14.384498882876631,1.1578947368421053
40,188101.97776326127,1,-5440.747499104295,5.274393361882943,10.62467830894041,1.026315789473684
41,344787.29690948926,1,-5532.015844031412,5.537551256619785,7.847599703514615,0.8947368421052633
42,631988.4645751503,1,-5608.943825932956,5.800709151356627,5.7963939533849675,0.763157894736842
43,1158422.6650348573,1,-5662.120211400881,6.063867046093469,4.281332398719396,0.6315789473684212
44,2123366.4,1,-5694.7337201448245,6.327024940830311,3.1622776601683795,0.5
45,inf,1,-5737.859837344524,inf,0.0,-inf
46,inf,2,-5887.338097966377,inf,0.0,-inf
47,0.0,2,-inf,-inf,inf,inf
48,21.233663999999997,2,-10315.651078129998,1.3270249408303112,1000.0000000000001,3.0
49,38.92089653229709,2,-9710.532608171681,1.5901828355671532,738.6199822079362,2.868421052631579
50,71.3412525920056,2,-9251.273689564809,1.8533407303039953,545.559478116852,2.736842105263158
51,130.7671398877709,2,-8860.861783028005,2.1164986250408377,402.96113202004005,2.6052631578947367
52,239.69364502501062,2,-8392.44887777921,2.3796565197776793,297.63514416313194,2.473684210526316
53,439.3538278399619,2,-7949.031244152252,2.642814414514522,219.83926488622893,2.3421052631578947
54,805.327091661045,2,-7524.571990658426,2.905972309251364,162.3776739188722,2.210526315789474
55,1476.1490249254803,2,-7110.00277956736,3.169130203988206,119.93539462092343,2.0789473684210527
56,2705.7526890025133,2,-6703.296194274654,3.432288098725048,88.58667904100828,1.9473684210526316
57,4959.592487224601,2,-6322.533051443469,3.69544599346189,65.4318912971297,1.8157894736842106
58,9090.837362672157,2,-5979.930901878996,3.958603888198732,48.329302385717554,1.6842105263157896
59,16663.329531092877,2,-5708.644955915611,4.221761782935574,35.69698846826066,1.5526315789473686
60,30543.561608737768,2,-5551.825687824175,4.4849196776724165,26.366508987303583,1.4210526315789473
61,55985.75926893838,2,-5505.022246890278,4.748077572409258,19.474830399087573,1.2894736842105265
62,102620.81682127241,2,-5534.060338841958,5.011235467146101,14.384498882876631,1.1578947368421053
63,188101.97776326127,2,-5607.231375325028,5.274393361882943,10.62467830894041,1.026315789473684
64,344787.29690948926,2,-5692.966859998699,5.537551256619785,7.847599703514615,0.8947368421052633
65,631988.4645751503,2,-5765.639191822226,5.800709151356627,5.7963939533849675,0.763157894736842
