,d,rho
0,0,1.0
1,1,0.5680123377361357
2,2,0.3763671278114327
3,3,0.24585680113740221
4,4,0.15204865322227096
5,5,0.08190796534092436
6,6,0.02729206983695144
7,7,-0.017286762125539194
8,8,-0.055657001154264314
9,9,-0.09054027440694744
